22112, 3 5 8 17 25 31, 1 
22113, 13 14 20 24 27 29, 2 
22114, 1 5 15 19 26 29, 13 
22115, 6 7 18 20 27 29, 9 
22116, 8 14 26 27 30 33, 1 
22117, 4 13 17 18 28 29, 6 
22118, 2 6 7 11 14 33, 8 
22119, 2 5 15 18 26 27, 4 
22120, 2 15 19 26 27 29, 2 
22121, 12 17 22 27 30 31, 2 
22122, 6 8 17 19 24 28, 5 
22123, 10 13 16 20 21 25, 5 
22124, 5 10 13 18 24 26, 1 
22125, 2 3 7 12 20 31, 16 
22126, 1 13 15 17 26 33, 13 
22127, 3 4 9 10 29 33, 13 
22128, 3 12 18 24 27 29, 1 
22129, 10 12 14 22 24 27, 7 
22130, 2 8 15 17 26 28, 12 
22131, 3 5 10 13 19 29, 6 
22132, 1 3 18 26 32 33, 4 
22133, 5 8 16 17 21 25, 12 
22134, 1 5 14 17 24 31, 14 
22135, 9 11 13 24 28 32, 6 
22136, 8 10 14 15 18 22, 8 
22137, 8 21 23 27 28 33, 1 
22138, 2 14 19 21 25 28, 11 
22139, 6 7 9 16 17 19, 14 
22140, 8 9 18 19 20 27, 15 
22141, 5 12 13 17 20 27, 14 
